year,qtr,area_fips,area_title,avg_mthly_wage,avg_qtrly_wage
2017,1,01001,"Autauga County, Alabama",2968,8904
2017,2,01001,"Autauga County, Alabama",2744,8232
2017,3,01001,"Autauga County, Alabama",2824,8472
2017,1,01003,"Baldwin County, Alabama",2668,8004
2017,2,01003,"Baldwin County, Alabama",2660,7980
2017,3,01003,"Baldwin County, Alabama",2644,7932
2017,1,01005,"Barbour County, Alabama",2752,8256
2017,2,01005,"Barbour County, Alabama",2724,8172
2017,3,01005,"Barbour County, Alabama",2688,8064
2017,1,01007,"Bibb County, Alabama",3032,9096
2017,2,01007,"Bibb County, Alabama",3024,9072
2017,3,01007,"Bibb County, Alabama",2956,8868
2017,1,01009,"Blount County, Alabama",2612,7836
2017,2,01009,"Blount County, Alabama",2604,7812
2017,3,01009,"Blount County, Alabama",2612,7836
2017,1,01011,"Bullock County, Alabama",2440,7320
2017,2,01011,"Bullock County, Alabama",2540,7620
2017,3,01011,"Bullock County, Alabama",2468,7404
2017,1,01013,"Butler County, Alabama",2504,7512
2017,2,01013,"Butler County, Alabama",2540,7620
2017,3,01013,"Butler County, Alabama",2528,7584
2017,1,01015,"Calhoun County, Alabama",3004,9012
2017,2,01015,"Calhoun County, Alabama",2944,8832
2017,3,01015,"Calhoun County, Alabama",2976,8928
2017,1,01017,"Chambers County, Alabama",2760,8280
2017,2,01017,"Chambers County, Alabama",2772,8316
2017,3,01017,"Chambers County, Alabama",2784,8352
2017,1,01019,"Cherokee County, Alabama",2552,7656
2017,2,01019,"Cherokee County, Alabama",2576,7728
2017,3,01019,"Cherokee County, Alabama",2604,7812
2017,1,01021,"Chilton County, Alabama",2752,8256
2017,2,01021,"Chilton County, Alabama",2728,8184
2017,3,01021,"Chilton County, Alabama",2772,8316
2017,1,01023,"Choctaw County, Alabama",3780,11340
2017,2,01023,"Choctaw County, Alabama",3456,10368
2017,3,01023,"Choctaw County, Alabama",3696,11088
2017,1,01025,"Clarke County, Alabama",2972,8916
2017,2,01025,"Clarke County, Alabama",2888,8664
2017,3,01025,"Clarke County, Alabama",2892,8676
2017,1,01027,"Clay County, Alabama",2588,7764
2017,2,01027,"Clay County, Alabama",2528,7584
2017,3,01027,"Clay County, Alabama",2496,7488
2017,1,01029,"Cleburne County, Alabama",3204,9612
2017,2,01029,"Cleburne County, Alabama",3296,9888
2017,3,01029,"Cleburne County, Alabama",3164,9492
2017,1,01031,"Coffee County, Alabama",2548,7644
2017,2,01031,"Coffee County, Alabama",2548,7644
2017,3,01031,"Coffee County, Alabama",2596,7788
2017,1,01033,"Colbert County, Alabama",3244,9732
2017,2,01033,"Colbert County, Alabama",3308,9924
2017,3,01033,"Colbert County, Alabama",3248,9744
2017,1,01035,"Conecuh County, Alabama",2740,8220
2017,2,01035,"Conecuh County, Alabama",2676,8028
2017,3,01035,"Conecuh County, Alabama",2696,8088
2017,1,01037,"Coosa County, Alabama",2796,8388
2017,2,01037,"Coosa County, Alabama",2560,7680
2017,3,01037,"Coosa County, Alabama",2620,7860
2017,1,01039,"Covington County, Alabama",2680,8040
2017,2,01039,"Covington County, Alabama",2668,8004
2017,3,01039,"Covington County, Alabama",2760,8280
